Latitude,Longitude,Positive,Negative,Mixed,Neutral,Count,Sentiment
25,-99,0.079604938,0.452194527,0.116498304,0.351702288,2,NEGATIVE
25,-82,0.071848572,0.309289069,0.050560167,0.568302191,28,NEUTRAL
25,-81,0.149278496,0.327837197,0.003606945,0.519277369,11,NEUTRAL
25,-80,0.117254253,0.468564876,0.002520655,0.411660239,7,NEGATIVE
25,-77,0.079946928,0.17321901,0.018925831,0.727908238,82,NEUTRAL
26,-99,0.356823315,0.368481315,0.123816204,0.150879175,3,NEGATIVE
26,-98,0.243875882,0.142448537,0.029438456,0.584237125,40,NEUTRAL
26,-97,0.126562244,0.098739507,0.019191377,0.755506871,40,NEUTRAL
26,-82,0.148878851,0.280670913,0.016445897,0.554004325,40,NEUTRAL
26,-81,0.035883325,0.237889348,0.0096601,0.716567221,40,NEUTRAL
26,-80,0.065692712,0.210941231,0.032195037,0.691171017,41,NEUTRAL
27,-98,0.040967086,0.610603697,0.054073075,0.294356194,35,NEGATIVE
27,-97,0.087659077,0.435609831,0.022484839,0.454246261,6,NEUTRAL
27,-83,0.031740061,0.193796436,0.003137937,0.771325587,40,NEUTRAL
27,-82,0.040121146,0.194325281,0.019696845,0.745856742,40,NEUTRAL
27,-81,0.060688106,0.206410042,0.016286981,0.716614857,40,NEUTRAL
27,-80,0.085413902,0.162592386,0.002052713,0.749941001,40,NEUTRAL
27,-79,0.083319336,0.281733818,0.034033601,0.600913244,77,NEUTRAL
29,-99,0.100023873,0.326558392,0.011707865,0.561709863,35,NEUTRAL
29,-98,0.095326497,0.339385775,0.017015233,0.548272483,23,NEUTRAL
29,-97,0.118777057,0.16008015,0.004635146,0.716507659,35,NEUTRAL
29,-96,0.136185491,0.341832079,0.006520368,0.515462064,22,NEUTRAL
29,-95,0.064553393,0.170776271,0.015005389,0.749664947,40,NEUTRAL
29,-91,0.133531287,0.534988999,0.058977254,0.272502512,1,NEGATIVE
29,-90,0.051848939,0.248353677,0.025615147,0.67418223,5,NEUTRAL
29,-83,0.116318091,0.227959933,0.10258697,0.553135019,40,NEUTRAL
29,-82,0.164640217,0.254305331,0.061702924,0.519351514,40,NEUTRAL
29,-81,0.093701783,0.436875477,0.014924775,0.454497937,40,NEUTRAL
29,-80,0.054647386,0.446192556,0.036334443,0.462825623,60,NEUTRAL
30,-99,0.191968736,0.372442235,0.042594951,0.392994095,40,NEUTRAL
30,-98,0.144775107,0.264066646,0.00273918,0.588419045,40,NEUTRAL
30,-97,0.146230718,0.264624702,0.002889518,0.586255039,40,NEUTRAL
30,-96,0.209381401,0.289029106,0.009403707,0.492185776,40,NEUTRAL
30,-95,0.21100473,0.268146986,0.009395732,0.511452543,40,NEUTRAL
30,-94,0.071206613,0.140224868,0.028430953,0.760137567,40,NEUTRAL
30,-93,0.104703519,0.288381125,0.015698528,0.59121683,40,NEUTRAL
30,-92,0.228661559,0.147650069,0.030901906,0.592786467,40,NEUTRAL
30,-91,0.294704185,0.130893921,0.006486085,0.567915823,40,NEUTRAL
30,-90,0.215962884,0.248669257,0.015133957,0.520233906,40,NEUTRAL
